latitude,longitude,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
1.31359,103.88794,47,1.01,84,72
1.31593,103.90714,4,0.08,8,271
1.32445,103.85397,6,0.12,203,17
1.3277,103.84428,7,0.15,67,365
1.30678,103.90351,4,0.08,1,363
1.31421,103.88753,21,0.57,67,123
1.3009,103.85213,161,3.33,2,345
1.33316,103.72676,28,0.6,2,184
1.31479,103.88627,24,0.67,67,72
1.30224,103.84572,17,0.81,84,1
1.30854,103.86407,2,0.06,83,359
1.32419,103.851,6,0.15,114,254
1.38008,103.76074,45,0.94,3,0
1.30852,103.86173,2,0.04,83,359
1.34193,103.73584,1,0.03,1,362
1.30668,103.86207,8,0.18,112,359
1.41633,103.84611,15,0.32,1,365
1.30787,103.86331,3,0.06,112,360
1.31952,103.91476,30,0.73,1,361
1.28103,103.85279,39,0.8,4,38
1.31587,103.78891,38,0.83,8,300
1.29628,103.85365,101,2.23,40,360
1.31583,103.88886,1,0.04,1,0
1.32118,103.80424,48,0.99,1,68
1.31579,103.83026,19,0.41,1,250
1.31504,103.80376,6,0.13,1,0
1.31724,103.91256,7,0.16,24,301
1.3185,103.91248,3,0.1,24,253
1.3172,103.9139,2,0.12,24,239
1.31857,103.91291,4,0.1,24,341
1.31722,103.9128,5,0.12,24,343
1.3168,103.91281,3,0.07,24,312
1.31744,103.91363,8,0.17,24,337
1.33854,103.73746,14,0.3,15,361
1.32343,103.85342,1,0.02,1,0
1.29666,103.83975,33,0.69,1,331
1.30207,103.79821,2,0.06,1,89
1.30574,103.80105,3,0.07,1,331
1.3404,103.82685,28,0.63,2,350
1.31249,103.88328,8,0.17,13,0
1.31447,103.88143,2,0.04,13,0
1.31253,103.88268,3,0.06,13,0
1.27509,103.84483,9,0.19,13,0
1.30174,103.85389,1,0.03,1,0
1.27341,103.84485,5,0.11,13,0
1.27534,103.84711,19,0.4,13,0
1.30737,103.8885,1,0.02,1,0
1.28031,103.85144,1,0.02,41,364
1.34432,103.96211,203,4.26,7,0
1.31386,103.88666,57,1.19,84,36
1.3323,103.86991,71,1.51,2,308
1.30513,103.84969,115,2.39,14,355
1.30339,103.84884,18,0.38,14,345
1.30475,103.84962,3,0.08,14,352
1.30509,103.84896,38,0.8,14,347
1.33209,103.86926,68,1.42,2,294
1.31443,103.89439,168,3.48,1,259
1.28016,103.8536,1,0.02,41,364
1.30573,103.84885,25,0.55,14,348
1.30021,103.83589,1,0.02,1,0
1.31855,103.77496,5,0.1,1,0
1.29478,103.83901,22,0.46,84,48
1.30387,103.84695,16,0.44,84,8
1.34574,103.94188,138,2.88,1,334
1.296,103.84045,70,1.46,4,364
